#	0	1	2	3	4	6	7	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	0	244	1	15	2	4	10	8	1	0	0	2	8	9	0	6	1	1	2	2	2	28	0	2	20	7	5	6	47	27	2	27	4	15	10	4	16	60	42	1	0	0	16	1	12	3	15	8	6	79	8	1	17	2	1	15	31
2	0	0	200	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	2	0	2	1	6	1	0	1	0	34	0	1	4	5	1	0	0	0	2	23	0	0	0	0	2	8	0	0	13	0	0	3	1
3	0	0	0	137	2	1	7	4	2	1	0	2	2	4	1	2	1	1	4	2	1	7	0	3	22	7	9	3	38	19	1	19	1	8	12	1	15	38	20	0	0	0	12	0	1	2	4	2	5	58	8	0	8	1	0	10	10
4	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	1	0	2	1	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	3
6	0	0	0	0	0	113	7	6	1	0	0	0	3	3	0	1	0	1	1	1	0	10	0	1	10	6	4	1	19	10	0	12	2	7	5	0	7	40	17	0	0	1	21	0	3	2	3	5	3	27	5	1	7	1	0	13	20
7	0	0	0	0	0	0	1180	6	2	0	0	0	0	4	1	2	3	2	1	0	0	8	0	0	10	2	5	3	15	6	0	7	4	11	3	1	4	26	9	0	0	0	16	0	1	1	1	0	4	26	1	0	2	1	1	16	17
9	0	0	0	0	0	0	0	114	3	0	0	0	3	2	0	1	0	2	1	2	0	11	0	1	10	6	0	1	22	15	3	12	0	5	14	1	16	28	19	1	0	0	24	0	4	4	3	1	6	28	2	0	3	0	1	16	22
10	0	0	0	0	0	0	0	0	20	0	0	0	1	1	0	1	0	0	0	2	0	1	0	2	3	3	0	0	7	4	0	6	0	3	5	1	3	12	4	0	0	0	0	0	2	1	2	0	0	6	1	0	2	0	0	7	7
11	0	0	0	0	0	0	0	0	0	21	0	0	1	1	0	3	0	0	0	0	0	1	0	0	1	1	2	0	6	1	0	3	0	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	1	5
12	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
13	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	1	0	1	0	0	3	0	0	2	2	1	1	4	2	1	5	0	3	3	1	3	5	3	0	0	0	9	0	0	0	1	0	1	15	0	0	0	1	0	3	1
15	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	2	1	1	2	0	1	2	0	0	4	2	3	1	17	6	1	6	1	6	1	1	9	15	6	0	0	0	2	0	0	1	3	1	1	17	2	0	0	2	0	2	7
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	1	0	0	1	1	2	0	0	6	1	3	0	10	1	0	1	0	5	3	0	2	14	7	0	0	0	6	0	0	2	3	0	1	15	5	0	2	2	0	8	5
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	1	2	0	0	1	1	1	0	1	2	0	1	0	0	0	0	0	2	2	0	0	0	2	0	1	0	0	0	0	2	2	0	0	0	0	2	1
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	2	0	0	1	0	1	1	0	2	0	4	0	1	0	0	0	5	4	0	0	0	6	0	0	2	0	2	2	5	1	0	1	0	0	2	3
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	8	1	3	0	0	5	3	2	1	13	10	0	6	4	7	8	0	0	13	2	0	0	0	12	0	1	0	2	1	1	11	3	0	4	2	2	5	2
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	3	0	0	0	2	0	0	4	6	0	1	0	1	1	0	4	8	11	0	0	0	7	0	0	0	0	1	0	10	0	0	3	1	0	2	3
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	1	0	0	0	5	1	0	3	0	1	0	0	1	3	3	0	0	0	1	0	0	0	1	1	1	13	0	0	1	0	0	1	2
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	1	25	9	8	9	36	37	0	27	2	7	9	3	11	45	33	0	0	0	20	2	7	3	4	6	6	67	4	0	13	2	4	9	30
