structure-50-9.flib/homstrad-homstrad.csv:all    0.806643
structure-100-10.flib/homstrad-homstrad.csv:all  0.775580
structure-70-9.flib/homstrad-homstrad.csv:all    0.770792
structure-100-11.flib/homstrad-homstrad.csv:all  0.770016
structure-100-12.flib/homstrad-homstrad.csv:all  0.769998
structure-100-9.flib/homstrad-homstrad.csv:all   0.753922
structure-200-11.flib/homstrad-homstrad.csv:all  0.748719
structure-200-12.flib/homstrad-homstrad.csv:all  0.746771
structure-200-10.flib/homstrad-homstrad.csv:all  0.744281
structure-20-5.flib/homstrad-homstrad.csv:all    0.733917
structure-400-12.flib/homstrad-homstrad.csv:all  0.718933
structure-400-11.flib/homstrad-homstrad.csv:all  0.715579
structure-600-11.flib/homstrad-homstrad.csv:all  0.701612
structure-200-9.flib/homstrad-homstrad.csv:all   0.674961
structure-600-12.flib/homstrad-homstrad.csv:all  0.672316
structure-400-10.flib/homstrad-homstrad.csv:all  0.667554
structure-400-9.flib/homstrad-homstrad.csv:all   0.648063
structure-600-10.flib/homstrad-homstrad.csv:all  0.638852
structure-40-5.flib/homstrad-homstrad.csv:all    0.607827
structure-600-9.flib/homstrad-homstrad.csv:all   0.599834
structure-200-7.flib/homstrad-homstrad.csv:all   0.559329
structure-250-7.flib/homstrad-homstrad.csv:all   0.541583
structure-225-5.flib/homstrad-homstrad.csv:all   0.541583
structure-60-5.flib/homstrad-homstrad.csv:all    0.535884
structure-300-6.flib/homstrad-homstrad.csv:all   0.516544
structure-100-5.flib/homstrad-homstrad.csv:all   0.455004
structure-150-5.flib/homstrad-homstrad.csv:all   0.404563
