sequence-20-5.flib/bent-none.csv:all    0.223165
sequence-100-12.flib/bent-none.csv:all  0.202533
sequence-50-9.flib/bent-none.csv:all    0.198766
sequence-100-11.flib/bent-none.csv:all  0.195746
sequence-200-12.flib/bent-none.csv:all  0.189915
sequence-70-9.flib/bent-none.csv:all    0.189265
sequence-100-10.flib/bent-none.csv:all  0.186058
sequence-200-11.flib/bent-none.csv:all  0.184172
sequence-400-12.flib/bent-none.csv:all  0.180635
sequence-100-9.flib/bent-none.csv:all   0.180000
sequence-600-12.flib/bent-none.csv:all  0.177521
sequence-200-10.flib/bent-none.csv:all  0.176143
sequence-400-11.flib/bent-none.csv:all  0.174717
sequence-600-11.flib/bent-none.csv:all  0.169247
sequence-200-9.flib/bent-none.csv:all   0.168985
sequence-40-5.flib/bent-none.csv:all    0.168497
sequence-400-10.flib/bent-none.csv:all  0.167016
sequence-600-10.flib/bent-none.csv:all  0.162103
sequence-400-9.flib/bent-none.csv:all   0.159113
sequence-60-5.flib/bent-none.csv:all    0.154773
sequence-600-9.flib/bent-none.csv:all   0.154262
sequence-200-7.flib/bent-none.csv:all   0.149439
sequence-250-7.flib/bent-none.csv:all   0.146672
sequence-80-5.flib/bent-none.csv:all    0.146397
sequence-100-5.flib/bent-none.csv:all   0.138653
sequence-300-6.flib/bent-none.csv:all   0.133520
sequence-225-5.flib/bent-none.csv:all   0.132309
sequence-150-5.flib/bent-none.csv:all   0.131805
