#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
0	14895	148	383	131	332	305	408	747	164	216	169	410	47	456	382	372	401	380	518	356	222	152	103	230	317	273	424	74	188	381	414	93	807	80	254	325	315	196	220	381	152	574	39	140	310	120	260	184	642	520	508	144	221	298	732	375	208	255	292	448	343	255	448	327	152	495	172	212	114	264	284	308	506	128	175	110	160	446	327	185	292	160	181	337	326	251	118	34	44	345	262	200	379	298	32	71	67	113	149
1	0	38	2	4	18	25	12	15	3	5	5	9	2	19	10	13	6	7	10	14	8	3	5	7	5	19	6	1	7	22	11	2	15	3	1	15	4	6	6	10	1	21	0	6	15	6	10	2	12	16	19	2	10	10	14	4	4	2	13	5	6	12	8	4	4	8	2	19	1	14	5	3	8	2	2	1	8	15	5	1	6	3	6	2	14	9	3	0	2	11	7	9	6	7	5	2	1	3	6
2	0	0	124	1	21	17	72	62	3	16	7	54	0	25	46	34	8	30	22	19	12	5	4	23	10	29	30	2	3	36	20	3	98	6	9	21	10	5	10	7	3	43	1	3	21	5	19	9	70	48	33	8	10	8	73	7	2	5	22	47	28	9	47	12	6	35	10	10	3	26	5	3	64	5	11	1	9	60	7	19	13	9	20	3	23	4	1	1	1	35	11	11	60	18	0	0	2	2	3
3	0	0	0	40	13	7	9	4	0	6	2	4	2	11	3	3	24	7	9	9	2	4	3	7	3	7	7	1	4	7	4	0	4	3	4	7	9	6	22	16	12	7	1	5	13	2	11	6	14	10	10	10	12	15	11	10	9	9	2	3	8	7	2	8	6	5	5	6	5	0	6	20	5	5	3	8	3	11	1	4	23	1	6	14	0	4	12	1	0	5	3	10	7	4	1	1	5	2	17
4	0	0	0	0	173	18	26	52	20	14	9	22	4	65	26	24	24	26	34	42	25	17	3	15	21	18	61	11	28	31	53	26	30	7	16	23	64	7	12	31	12	77	2	16	29	20	36	9	57	43	44	24	21	22	42	35	13	20	26	24	24	19	20	25	10	48	6	17	12	21	24	17	22	9	17	7	7	27	29	15	20	11	22	23	57	15	15	1	7	22	20	21	25	25	1	11	7	14	7
5	0	0	0	0	0	113	29	38	7	10	3	31	0	34	20	27	19	17	14	20	50	18	3	19	10	23	26	3	15	62	21	9	27	7	16	18	21	15	11	25	6	34	2	13	18	8	29	12	23	23	23	9	17	19	22	26	7	15	26	22	10	30	27	12	5	23	7	13	7	17	12	12	31	8	12	4	10	29	14	9	12	6	21	14	22	35	6	0	2	15	31	17	13	23	4	7	4	5	9
6	0	0	0	0	0	0	123	69	4	22	5	46	0	27	31	59	17	30	27	32	11	8	3	30	12	56	26	4	8	40	20	3	69	3	19	18	22	15	7	12	5	35	0	5	30	12	17	8	54	42	29	4	10	10	78	21	11	11	27	30	23	15	54	9	6	34	6	25	8	35	12	13	80	7	6	4	9	59	10	12	16	15	20	11	15	11	4	1	1	33	11	24	54	27	2	3	4	6	3
7	0	0	0	0	0	0	0	285	10	21	23	73	1	76	57	61	27	95	50	43	26	12	10	36	17	43	36	9	20	36	74	8	229	5	20	59	41	25	12	22	8	50	4	19	40	13	30	30	72	44	85	11	21	21	94	36	29	29	55	94	94	35	76	20	21	41	16	22	14	41	30	25	70	14	28	9	22	76	33	34	28	14	18	22	52	22	10	1	3	113	23	23	61	61	2	13	8	17	12
8	0	0	0	0	0	0	0	0	132	2	10	6	17	5	9	5	32	4	13	4	6	15	6	4	19	6	19	14	31	7	10	15	6	3	3	6	19	5	5	20	10	16	3	27	9	11	13	3	8	12	13	1	10	20	11	20	7	12	16	16	9	9	6	15	3	18	5	9	1	3	32	11	3	5	7	6	3	3	18	9	8	6	0	25	17	3	5	2	1	9	14	4	4	13	5	6	8	5	7
9	0	0	0	0	0	0	0	0	0	89	8	18	2	18	10	18	16	6	28	5	5	1	3	24	7	12	20	1	4	13	12	2	26	1	40	9	10	7	52	19	4	18	2	7	10	3	10	10	22	13	15	5	9	9	19	7	13	17	4	18	15	8	18	8	39	16	13	12	10	8	5	26	22	4	4	5	11	20	11	10	28	5	5	14	10	3	7	4	0	5	7	5	21	16	0	5	3	3	5
