#	0	1	2	3	4	6	7	8	10	11	14	15	16	18	19	21	22	23	24	25	26	29	31	32	33	34	35	36	37	38	39	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	78	79	80	81	82	83	84	85	86	87	88	89	90	93	94	95	96	97	98	99
0	35	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	4	0	1	1	1	0	0	0	0	8	1	0	2	0	0	0	1	0	3	0	0	0	1	4	0	0	1	3	0	0	1	4	2	1	1	7	1	3	0	0	2	3	1	1	3	0	0	0	0	0	3	3	6	1	0	3	0	0	0	2	3	4	3	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	15	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	27	0	0	0	0	0	2	0	1	0	3	0	2	1	1	0	0	1	3	0	0	2	0	4	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0	3	1	3	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	4	1	1	0	1	0	0	1
4	0	0	0	0	63	0	0	0	2	0	0	0	0	2	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	16	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
6	0	0	0	0	0	20	0	0	1	0	2	0	0	2	1	1	1	1	0	0	0	5	0	0	0	0	0	0	0	6	0	0	1	4	0	2	0	0	2	1	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	1	3	3	1	0	1	0	0	1
7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	2	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0
8	0	0	0	0	0	0	0	19	0	1	0	1	0	0	2	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	6	0	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0
10	0	0	0	0	0	0	0	0	49	0	0	0	0	3	0	0	1	2	2	0	0	1	0	0	1	0	1	0	0	1	1	0	0	3	1	1	0	0	2	0	0	1	0	1	0	0	0	2	1	0	0	0	4	0	1	0	0	8	2	1	0	0	0	0	0	1	0	2	0	4	0	0	0	1	1	0	2	0	1	3	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	33	1	0	0	3	0	0	0	2	0	0	1	3	1	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	7	0	0	0	0	1	0	1	0	2	0	1	0	0	0	3	1	7	2	1	0	1	0	3	2	5	2	3	2	5	0	0	0
