#	0	1	2	3	5	6	7	9	10	12	13	14	15	17	19	20	22	23	24	25	27	28	29	30	31	32	33	34	36	37	38	41	42	43	45	46	47	48	51	52	53	55	56	57	59	60	61	62	64	65	66	67	68	70	73	74	75	76	77	78	79	81	82	83	84	85	87	90	91	92	93	94	95	96	97	101	102	104	105	106	107	108	109	110	112	113	114	115	116	119	120	121	126	128	131	132	135	136	139	140	141	142	144	145	147	150	153	154	155	156	158	162	163	164	165	167	168	169	172	173	174	176	177	178	180	181	182	183	184	185	187	189	192	193	195	196
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	0	198	15	0	15	1	0	0	0	13	3	1	0	0	0	0	1	1	0	1	0	0	5	2	6	0	0	1	10	14	0	1	5	1	0	1	11	0	5	3	0	0	1	1	0	3	1	1	1	0	0	0	0	0	0	1	0	11	3	0	15	13	0	0	4	0	0	0	0	0	1	0	16	2	1	6	1	0	0	1	2	0	2	2	0	1	0	0	0	0	0	2	0	0	1	0	0	0	3	0	1	26	12	11	0	2	4	0	1	0	3	22	3	1	1	0	10	0	1	0	0	0	0	1	1	6	2	0	19	0	0	0	0	0	0	0
2	0	0	41	0	3	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	1	5	0	0	5	0	0	0	4	1	5	1	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	1	5	0	0	4	7	0	0	2	2	1	0	0	0	0	0	2	2	0	4	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	7	4	0	0	1	0	1	0	1	8	1	0	1	1	3	0	0	1	0	0	0	0	3	2	0	0	11	1	0	0	1	0	0	0
3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	0	0	0	0	147	0	0	0	0	13	4	0	0	1	0	0	0	4	1	0	1	1	9	5	3	0	1	0	7	7	0	0	11	1	1	0	3	0	4	2	0	0	0	1	0	3	0	2	1	0	0	0	0	0	1	0	0	19	4	0	3	9	0	0	3	1	1	0	0	0	1	0	12	0	0	2	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	15	18	11	0	2	4	0	0	1	2	8	1	0	0	1	13	0	0	0	0	0	0	0	2	4	5	1	16	2	0	0	0	0	0	2
6	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
12	0	0	0	0	0	0	0	0	0	182	7	1	0	1	0	0	0	5	1	2	0	0	4	11	4	0	0	1	9	9	1	1	4	0	1	0	8	0	5	1	0	0	1	2	0	3	0	0	0	0	0	0	1	0	0	1	0	8	8	0	5	6	0	0	1	2	3	0	1	0	1	0	7	2	1	11	2	1	0	1	2	0	4	6	2	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	9	8	6	0	2	4	2	0	1	0	7	3	1	0	4	14	0	0	1	1	2	2	3	3	10	6	2	5	1	1	0	1	0	0	2
