#	0	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	20	21	22	23	24	25	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	43	44	45	47	48	53	54	55	56	57	58	59	60	61	62	64	65	66	67	68	70	71	74	75	77	79
0	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	5	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	4
3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6
5	0	0	0	0	10	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	1	0	0	0	1	0
6	0	0	0	0	0	236	0	2	12	9	2	2	19	0	4	0	4	16	16	6	20	0	0	1	0	6	4	5	4	7	83	12	1	0	0	38	4	7	2	0	10	6	6	2	0	3	1	1	4	2	37	51	10	2	4	1	15	1	4	15	0	3	0	6	16
7	0	0	0	0	0	0	31	0	1	1	1	0	0	0	0	0	2	0	1	0	1	2	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	3	0	0	0	0	1	1	0	0	0	2	0	5
8	0	0	0	0	0	0	0	30	0	2	1	0	2	0	0	0	0	0	1	0	5	0	1	0	0	1	0	0	1	0	10	1	0	2	1	6	0	6	0	0	0	1	0	0	0	1	2	0	0	0	3	12	3	0	0	0	0	0	0	6	0	0	0	4	3
9	0	0	0	0	0	0	0	0	141	7	0	0	18	0	5	0	8	5	5	3	23	0	0	1	1	11	1	4	7	7	55	10	8	3	0	28	6	8	0	0	11	3	7	1	0	3	0	0	7	0	26	30	14	7	2	5	19	2	2	8	1	0	0	2	9
10	0	0	0	0	0	0	0	0	0	136	1	0	14	0	14	0	4	14	2	8	14	0	1	0	1	6	1	6	4	2	28	4	0	1	0	25	1	9	1	0	3	2	3	0	1	1	5	0	9	2	8	25	18	4	1	5	4	1	2	15	0	2	1	3	9
